6538;11;3;2024-10-02 17:05:56
1409;50;3;2024-10-02 17:06:18
2385;46;3;2024-10-02 17:07:01
9504;15;3;2024-10-02 17:09:25
3914;38;3;2024-10-02 17:09:46
1488;28;3;2024-10-02 17:10:27
7375;43;3;2024-10-02 17:10:32
344;24;3;2024-10-02 17:16:20
4477;49;3;2024-10-02 17:20:29
4817;46;3;2024-10-02 17:27:26
8430;38;3;2024-10-02 17:28:44
260;8;3;2024-10-02 17:30:24
1586;6;3;2024-10-02 17:33:45
3513;34;3;2024-10-02 17:35:10
2712;3;3;2024-10-02 17:37:02
7567;32;3;2024-10-02 17:39:47
2601;17;3;2024-10-02 17:40:22
9247;14;3;2024-10-02 17:41:04
7707;22;3;2024-10-02 17:41:48
24;48;3;2024-10-02 17:42:19
6700;2;3;2024-10-02 17:45:06
2125;11;3;2024-10-02 17:51:06
7475;6;3;2024-10-02 17:52:59
5479;31;3;2024-10-02 17:54:43
8700;26;3;2024-10-02 17:59:49
