1977;32;1;2024-10-01 16:00:52
2087;44;1;2024-10-01 16:01:01
192;6;1;2024-10-01 16:01:11
533;27;1;2024-10-01 16:02:22
562;10;1;2024-10-01 16:04:45
801;40;1;2024-10-01 16:04:56
5290;50;1;2024-10-01 16:07:39
222;1;1;2024-10-01 16:08:35
9662;17;1;2024-10-01 16:10:01
6170;2;1;2024-10-01 16:11:15
2450;28;1;2024-10-01 16:11:22
1243;40;1;2024-10-01 16:11:56
3841;41;1;2024-10-01 16:14:10
7425;4;1;2024-10-01 16:16:10
4176;36;1;2024-10-01 16:18:48
7151;43;1;2024-10-01 16:21:04
6395;4;1;2024-10-01 16:23:01
